Driver,Location,Year,Team,EventDate,Team_Pace_EMA,Driver_Teammate_Gap_EMA,Driver_Consistency_EMA,Degradation_EMA
PER,Imola,2022,Red Bull Racing,2022-04-24,-1.291131258679021,0.0249178615725741,2.662633213261483,0.0350094729940016
RIC,Imola,2022,McLaren,2022-04-24,0.3509365040872617,0.5271568221730573,2.889969063942569,-0.0794748063750533
RUS,Imola,2022,Mercedes,2022-04-24,-0.4512966779717702,-0.3757420928433219,2.684600905074692,-0.0196339087960344
STR,Imola,2022,Aston Martin,2022-04-24,0.7623177657533389,-0.2689796818297753,2.8621376162781376,0.0270363828325757
TSU,Imola,2022,RB,2022-04-24,0.2748320547690307,-0.2647431800617755,2.8816949881740084,0.0202763283502064
VER,Imola,2022,Red Bull Racing,2022-04-24,-1.291131258679021,-0.0249178615725741,2.5528618285333624,0.0488829190181488
VET,Imola,2022,Aston Martin,2022-04-24,0.7623177657533389,0.6354042059437686,3.1388876819829195,-0.0793495197550269
ZHO,Imola,2022,Kick Sauber,2022-04-24,0.1575092867625184,0.524905185569985,3.0471550954989244,-0.0597291141721693
ALB,Miami,2022,Williams,2022-05-08,0.9248190161089708,-0.7553140454415326,2.2681929408970736,-0.0358580422759645
ALO,Miami,2022,Alpine,2022-05-08,0.3573675881880503,3.441619316607917,1.226536423233218,-0.0115106970081752
BOT,Miami,2022,Kick Sauber,2022-05-08,0.0336687172934007,-1.071036134597804,2.0255995043965127,-0.0304090212679643
GAS,Miami,2022,RB,2022-05-08,0.3973655005068137,0.13361162232278,2.011590329867059,-0.0282035613031673
HAM,Miami,2022,Mercedes,2022-05-08,-0.3877701806961085,0.1187765218558645,2.1250911320576256,-0.0200894284215043
LAT,Miami,2022,Williams,2022-05-08,0.9248190161089708,0.7553140454415326,2.1952299502813686,-0.0349487501690531
LEC,Miami,2022,Ferrari,2022-05-08,-1.4224458397535282,-0.3475396574440051,2.023188621026548,-0.0146263550417157
MAG,Miami,2022,Haas F1 Team,2022-05-08,0.2617748037106349,-0.2697324045427783,2.0768647685355948,-0.0154279588493154
MSC,Miami,2022,Haas F1 Team,2022-05-08,0.2617748037106349,0.2697324045427783,2.350270893567447,0.0361766024212937
NOR,Miami,2022,McLaren,2022-05-08,0.4006953695649518,-0.3532416016094816,2.0461688755307934,-0.0176982573905542
OCO,Miami,2022,Alpine,2022-05-08,0.3573675881880503,-3.441619316607917,2.1107158098721843,-0.0505371407044619
PER,Miami,2022,Red Bull Racing,2022-05-08,-1.272152538315861,0.3313515626095062,2.0100414615303137,0.0112173218434427
RIC,Miami,2022,McLaren,2022-05-08,0.4006953695649518,0.3532416016094816,2.1854702885962127,-0.1086822212523332
RUS,Miami,2022,Mercedes,2022-05-08,-0.3877701806961085,-0.1187765218558645,2.1512067933740684,-0.0527605730327629
SAI,Miami,2022,Ferrari,2022-05-08,-1.4224458397535282,0.3475396574440051,1.092233880108017,0.0034908940359922
STR,Miami,2022,Aston Martin,2022-05-08,0.6712752297250035,-0.2270129173229732,2.174522294364963,-0.0183355326366848
TSU,Miami,2022,RB,2022-05-08,0.3973655005068137,-0.13361162232278,2.2376204304908405,0.0198194698978425
VER,Miami,2022,Red Bull Racing,2022-05-08,-1.272152538315861,-0.3313515626095062,1.912734895087336,0.0076692452959398
VET,Miami,2022,Aston Martin,2022-05-08,0.6712752297250035,0.4468676317913692,2.3829750722049075,-0.0874470177887717
ZHO,Miami,2022,Kick Sauber,2022-05-08,0.0336687172934007,1.071036134597804,2.154102981437136,-0.0496247740219009
ALB,Barcelona,2022,Williams,2022-05-22,1.1126008436276449,-0.2954653503418423,1.7877910067322489,0.0397061319577996
ALO,Barcelona,2022,Alpine,2022-05-22,0.1272484373676621,2.1530367528720187,1.204543177099132,0.0091605879468378
BOT,Barcelona,2022,Kick Sauber,2022-05-22,0.0779370794326419,-1.196345651702993,1.508602133445906,0.0032493852178985
GAS,Barcelona,2022,RB,2022-05-22,0.2979587207892616,0.2275312591079532,1.710881625389553,0.0199609359735175
HAM,Barcelona,2022,Mercedes,2022-05-22,-0.6042114767523673,-0.0031417093910187,1.9849578138553945,0.0642157824752354
LAT,Barcelona,2022,Williams,2022-05-22,1.1126008436276449,0.2954653503418423,1.7636836013810373,0.0312609724460065
LEC,Barcelona,2022,Ferrari,2022-05-22,-1.2425162701801302,-0.1059653984764282,1.4718814157703737,0.0194119473357177
MAG,Barcelona,2022,Haas F1 Team,2022-05-22,0.5599628002485,-0.079032546173942,1.7938641228740575,0.0404771717729983
MSC,Barcelona,2022,Haas F1 Team,2022-05-22,0.5599628002485,0.079032546173942,1.8098273619564955,0.0759257943463222
NOR,Barcelona,2022,McLaren,2022-05-22,0.2799247522115021,-0.4774236577075434,1.729811703002951,0.0164166122366999
OCO,Barcelona,2022,Alpine,2022-05-22,0.1272484373676621,-2.1530367528720187,1.739477409017641,0.0063736617890058
PER,Barcelona,2022,Red Bull Racing,2022-05-22,-1.3058679546346692,0.2952460252850024,1.7048310890820235,0.0422530850792595
RIC,Barcelona,2022,McLaren,2022-05-22,0.2799247522115021,0.4774236577075434,1.713857488044078,-0.0198288897585708
RUS,Barcelona,2022,Mercedes,2022-05-22,-0.6042114767523673,0.0031417093910187,1.7511144612052325,0.0302362607336836
SAI,Barcelona,2022,Ferrari,2022-05-22,-1.2425162701801302,0.1059653984764282,1.0643880522997144,0.0604321838618745
STR,Barcelona,2022,Aston Martin,2022-05-22,0.6078372700774446,-0.1743831735912762,1.7924039489391386,0.0211510168405964
TSU,Barcelona,2022,RB,2022-05-22,0.2979587207892616,-0.2275312591079532,1.760333825226163,0.0299124407756614
VER,Barcelona,2022,Red Bull Racing,2022-05-22,-1.3058679546346692,-0.2952460252850024,1.5241729628032534,0.0483101666633413
VET,Barcelona,2022,Aston Martin,2022-05-22,0.6078372700774446,0.3062960022723138,1.857818247535008,-0.0472416353043997
ZHO,Barcelona,2022,Kick Sauber,2022-05-22,0.0779370794326419,1.196345651702993,1.5240718256544228,-0.0304795702954937
ALB,Monaco,2022,Williams,2022-05-29,0.9016212312335212,0.3854280238374479,5.104553552892712,-0.224775339011252
ALO,Monaco,2022,Alpine,2022-05-29,0.0753519261898831,1.200741200659382,4.550348744993289,-0.2288361089041146
BOT,Monaco,2022,Kick Sauber,2022-05-29,0.2867673062776951,-0.9508141286104478,4.875208502431708,-0.2544443904387448
GAS,Monaco,2022,RB,2022-05-29,0.0566888291033628,-0.1618642484877972,4.557660921063554,-0.2037262427261427
